index,predictions
2262,"['&', 'EPSC 303']"
3728,"['&', ['|', ['MUSP', 324], ['MUSP', 330], ['MUSP', 335], ['MUSP', 346], ['MUSP', 350], ['MUSP', 353], ['MUSP', 354], ['MUSP', 355], ['MUSP', 381]]]"
2514,"['&', 'GEOG 698D1']"
2149,"['&', 'ENGL 275']"
475,"['&', ['|', 'PHYS 241', 'ECSE 304'], ['|', 'PHYS 242', 'ECSE 251']]"
128,"['&', 'ANTH 202', ['|', 'ANTH 227']]"
4646,"['&', 'SURG 402', 'D1']"
3691,"['|', ['&', 'MUPG 607D1']]"
3289,"['&', 'MGCR 271', ['|', 'equivalent']]"
400,"['&', 'BIOL 305', ['|', ['&', 'equivalent', 'permission of instructor']]]"
4056,"['|', ['&', 'ORGB 633']]"
3720,"['&', 'MUSP 241']"
1701,"['&', 'ECSE 509']"
1055,"['&', 'CIVE 290']"
461,"['&', 'MATH 533', 'MATH 523']"
3726,"['&', 'MUSP 241']"
543,"['&', 'BUSA 647D1']"
3491,"['|', ['&', 'MUAR 201'], ['&', 'permission of instructor']]"
1952,"['|', ['&', 'EDKP 206'], ['&', 'permission of instructor']]"
4039,"['&', 'OCC1', '618']"
2587,"['&', ['|', ['&', 'HISP 241', 'HISP 242'], ['&', 'HISP 243', 'HISP 244']], 'or', 'permission of the instructor']"
3949,"['&', 'NUR3 668']"
3914,"['Prerequisite', ['&', 'NUR2 653']]"
145,"['&', 'ANTH 339', ['|', 'ANTH 349', ['|', 'SOCI 328', ['|', 'GEOG 300', ['|', 'GEOG 302','permission of instructor']]]]]"
285,"['&', 'BASC 201', ['|', ['&', 'at least one term of undergraduate studies', 'CGPA of at least 3.0'], ['&', 'permission of instructor']]]"
3131,"['&', ['|', ['&', 'MATH 223', 'MATH 247'], ['&', 'MATH 236', 'MATH 251']], ['|', ['&', 'MATH 248', 'MATH 314'], ['&', 'MATH 358', 'MATH 243']], ['&', 'MATH 243', 'MATH 255']]"
736,"['&', 'CEEN 211', 'CEEN 212', '|', 'Entrance Placement Test', 'Permission of the Director']"
4236,"['&', 'PHYS 690N1']"
1883,"['Corequisite', 'EDEA 407']"
3613,"['Prerequisite', 'MUIN 452D1']"
4615,"['&', 'SOCI 210', ['|', 'permission from instructor']]"
2786,"['&', 'INDS 123D1']"
2992,"['&', 'ITAL 690N1']"
260,Corequisite(s): &: GEOG 373 &: EPSC 373 &: ATOC 373
2332,"['|', ['&', 'FDSC 213'], ['&', 'permission of instructor']]"
85,"['&', 'ANAT 261', ['|', 'BIOL 202', 'permission of instructor']]"
2922,"['|', ['&', 'ISLA 200', 'permission of instructor']]"
2161,"['Prerequisite', 'ENGL 491N1']"
3136,"['&', 'COMP 202', ['|', 'MATH 223', 'MATH 236'], ['|', 'MATH 314', 'equivalent']]"
457,"['|', ['&', 'MATH 324', 'permission of instructor']]"
2090,"['&', 'EDSP 682D1']"
2440,"['&', ['COMP 202', 'COMP 250'], ['|', ['MATH 202', 'MATH 250'], ['&', 'MATH 250', 'MATH 333'], ['&', 'MATH 202', 'MATH 333']]]"
1385,"['&', 'DENT 310J1']"
3791,"['Corequisite', 'NRSC 621']"
1959,"['&', 'EDKP 693D1']"
1264,"['&', ['|', ['&', 'COMP 251'], ['&', 'COMP 302']], ['|', ['&', 'COMP 520'], None]]"
4394,"['&', 'PSYC 305', ['|', 'departmental approval']]"
4216,"['&', 'PHYS 251']"
398,"['&', 'BIOL 215', ['|', 'ENVR 200', 'ENVR 202'], ['|', 'BIOL 205', 'permission of the instructor']]"
1998,"['|', ['&', 'PSYC 213'], ['&', 'permission of the instructor']]"
3312,"['&', ['|', ['&', 'INSY 660', 'INSY 662'], ['&', 'MGSC 660', 'MGSC 661'], ['&', 'Instructor_approval']]]"
1285,"['|', ['&', 'COMS 210'], ['&', 'permission of the instructor']]"
1564,"['&', ['|', ['&', 'ECON 230D1', 'ECON 230D2'], ['&', 'ECON 227D1', 'ECON 227D2']], ['|', 'or', 'permission of the instructor']]"
2630,"['&', 'HIST 218']"
219,"['Prerequisites', 'ARCH 604', 'ARCH 623']"
256,"['Prerequisite', ['&', ['ATOC 214'], ['permission of instructor']]]"
1370,"['&', 'DENT 213', 'DENT 213D1']"
22,"['&', 'INSY 660', 'INSY 662', 'OR', 'Instructor’s approval', '&', 'MGSC 660', 'MGSC 661', 'OR', 'Instructor’s approval']"
2037,"['&', 'EDPE 725D1']"
34,"['&', ['Any', ['&', ['ACCT', '683'], ['ACCT', '685'], ['ACCT', '687'], ['ACCT', '689']]]]"
2597,"['&', 'HISP 697D1']"
4198,"['&', 'CEGEP physics', 'PHYS 142']"
45,"['&', 'AEMA 310', ['|', 'equivalent']]"
2361,"['Prerequisite', ['MGCR', '341']]"
2245,"['&', ['|', ['&', 'EPSC 203', 'EPSC210'], ['&', 'EPSC 212', 'EPSC 220']], ['|', 'permission of instructor']]"
4604,"['&', 'SOCI 211']"
2994,"['&', 'ITAL 691N1']"
3105,"['&', ['|', ['&', 'MATH 208'], ['|', ['&', 'MATH 223'], ['&', 'MATH 236'], ['&', 'MATH 247'], ['&', 'MATH 251']], ['|', 'MATH 323', 'MATH 356']]"
1473,"['Prerequisite', 'DENT 786D1']"
907,"['Prerequisite', 'CHEE 220']"
3258,"['&', 'MECH 430']"
2034,"['Prerequisite', 'EDPE 723D1']"
2577,"['&', 'any', ['&', ['|', 'HISP 241', 'HISP 242'], ['|', 'HISP 243', 'HISP 244']], 'or', 'permission of the instructor']"
107,"['&', 'AEMA 310', 'LSCI 204']"
670,"['&', 'CCFC 515']"
29,"['Prerequisite', ['&', 'ACCT 653', 'ACCT 654', 'ACCT 663', 'ACCT 664']]"
4059,"['&', ['|', ['&', 'INSY 660', 'INSY 662'], ['&', 'Instructor\ufffds approval']], ['|', ['&', 'MGSC 660', 'MGSC 661'], ['&', 'Instructor\ufffds approval']]]"
2827,"['&', 'INFS 603', 'INFS 604', 'INFS 611']"
3299,"['&', 'MGCR 628', 'J2']"
7,"['&', 'MGCR 211']"
105,"['Prerequisite', ['&', ['LSCI', '202'], ['LSCI', '204'], ['ANSC', '234']]]"
978,"['Corequisite', ['&', 'CHEM 302']]"
3802,"['&', 'NSCI 400N1']"
4152,"['&', ['&', 'PHTH 301D1', 'PHTH 245'], ['|', 'ANAT 315'], ['&', 'PHTH 209', 'ANAT 316'], ['&', 'PHTH 210', ['|', 'POTH 225', 'POTH 250']]]"
3156,"['|', ['&', 'MATH 456', 'permission of the instructor']]"
3662,"['|', 'MUMT 306']"
1289," ['&', ['|', ['&', 'COMS 200', 'COMS 210'], ['&', 'COMS 200', 'COMS 230'], ['|', ['&', 'COMS 300', 'COMS 310'], ['&', 'COMS 300', 'COMS 320'], ['&', 'COMS 300', 'COMS 330'], ['&', 'COMS 300', 'COMS 340'], ['&', 'COMS 300', 'COMS 350'], ['&', 'COMS 300', 'COMS 354'], ['&', 'COMS 300', 'COMS 361'], ['&', 'COMS 300', 'COMS 362'], ['&', 'COMS 300', 'COMS 365']], ['&', 'permission of instructor']]"
154,"['&', 'ANTH 357', 'ANTH 359']"
541,"['&', ['MBA Core'], ['|', ['MGCR 629'], ['MGCR 650'], ['MGCR 651'], ['MGCR 652'], ['MGCR 653']]]"
106,"['&', 'LSCI 211', 'ANSC 323']"
28,"['&', 'ACCT 653', 'ACCT 654', 'ACCT 663', 'ACCT 664']"
92,"['&', 'ANAT 214', 'ANAT 314']"
794,"['Corequisite', ['&', 'CEGL 171']]"
995,"['&', 'CHEM 396', 'CHEM 470']"
1363,"['&', 'DENT 101J1']"
4724,"['&', 'WRIT 334', 'D1']"
3088,"['|', ['&', 'MATH 133'], ['&', 'equivalent']]"
2105,"['&', 'EDPS 600']"
525,"['Prerequisite', 'BUS2 463']"
3273,"['|', ['&', 'MATH 271'], ['&', 'permission of instructor']]"
90,"['&', ['|', ['&', 'BIOC 212', 'ANAT 212', 'BIOL 201'], ['&', 'ANAT 262'], ['|', ['&', 'PHGY 209', 'BIOL 205'], ['&', 'BIOC 312', 'ANAT 365'], ['&', 'BIOC 311']]]"
3231,"['&', ['|', ['&', 'MECH 240', 'BREE 301'], ['&', 'MECH 331', 'BREE 305']], ['|', ['&', 'MATH 271', 'BREE 319']]]"
1305,"['&', 'CORG 556D1']"
